job_title,company_name,job_location,job_description,salary_low,salary_high,source,application_url,job_category,job_category_code,timestamp
Healthcare Data Analyst - Remote | WFH,Get It Recruit - Information Technology,"Salem, Salem County","Since 1970, Northwest Human Services has been a beacon of support in Marion and Polk counties, providing advocacy, quality healthcare, and social services. As a nonprofit organization, we are deeply committed to serving uninsured individuals, families, the homeless, and migrant workers with compassion and professionalism. At Northwest Human Services, we cultivate a culture of equity, embrace diverse perspectives, and value work-life harmony.Your RoleAs a Healthcare Data Analyst, you'll play a c…",124245.75,124245.75,Adzuna,https://www.adzuna.com/details/4734071460?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Healthcare Financial Data Analyst,"Innovu, LLC","Pittsburgh, Allegheny County","Job Description Job Description Salary: $65,000-$75,000 Innovu delivers a full range of cloud-based solutions and services that unlock actionable knowledge that empowers our clients and partners to understand and solve complex problems in mitigating risk while optimizing quality, cost, and efficiency of benefits and risk programs. Overview Innovu is seeking a highly motivated Healthcare Financial Data Analyst to join our growing data science team. In this role, you will be key in ensuring the a…",90539.27,90539.27,Adzuna,https://www.adzuna.com/land/ad/4749029849?se=Ul4yTuU07xGaYWr34DRRHw&utm_medium=api&utm_source=330079c0&v=78FBD2B57376DDFB874B5F33872EE2E5888D4AB9,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,N/A,"New York City, New York","Duties: Enhance the automated process to generate daily and monthly reports for the Credit Facilities Team. Use several internally built tools or programmed functions to generate Credit Facility reports for clients including, without limitation, Borrowing Base and Monthly Servicing reports. Such reports are generated using dv01, Inc.s internally built tools and reporting functions, along with data ingested by dv01, Inc.s data pipeline, to create loan tapes that drive calculations in excel repor…",91587.82,91587.82,Adzuna,https://www.adzuna.com/details/4744700387?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,Peace Corps,"Washington, D.C., US","Summary This position is located in the Office Safety and Security, Headquarters, Peace Corps, Washington, D.C. This position is responsible for assisting the project leads in the management of data for safety and security specific data collection systems such as the Security Incident Questionnaire Survey (SIQ), Security Incident Management System (SIMS), and Response Quality Survey. Responsibilities The Data Analyst performs the following major duties: Uses standard data collection tools to an…",66971.56,66971.56,Adzuna,https://www.adzuna.com/details/4748841046?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,TEKsystems,"Five Points, Wake County","Description: This Data Analyst will work closely with IT development staff and business representatives to analyze requirements and develop ETL processes for transferring data across multiple platforms. They will be responsible for writing and optimizing SQL queries to support corporate reporting. Additionally, this position will play a vital role in the lifecycle of various applications, including creating data mappings, building data migration processes, and designing databases for transactio…",129201.05,129201.05,Adzuna,https://www.adzuna.com/details/4747478968?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Staff Data Analyst,N/A,"Austin, Travis County","Job responsibilities and duties include: Transform data into action by steering a cross-functional group of Data Analysts, Business Leaders, Product Managers, and Engineers on data visualization, quantitative analysis, and data modeling initiatives. Be the primary point of contact for the business stakeholders supported by your team: meeting with them, understanding their requirements, and using your analytical mindset to direct the implementation of solutions ranging from process improvements …",101466.5,101466.5,Adzuna,https://www.adzuna.com/details/4735746945?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Business Data Analyst,Access2Care LLC,"Greenwood Village, Arapahoe County","Access2Care LLC Position: Business Data Analyst Location: Greenwood Village, CO Responsibilities: Participate as an internal consultant to the Regional Operations Analyst on issues including, but not limited to, operating metrics, required client reporting, trends affecting our operating expenses, and effective management of employee productivity. Develop strong partnerships with stakeholders to gather, understand and define data and reporting requirements, including the development of multiple…",95215.74,95215.74,Adzuna,https://www.adzuna.com/details/4735746934?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Staff Marketing Data Analyst,N/A,"Dublin, Alameda County","Job responsibilities and duties include: Develop and make enhancements to the CMO dashboards. Manager user access, bug fix, and daily data refresh of the CMO dashboards. Design and develop Tableau dashboards and reports for various marketing functional teams, including growth marketing, customer marketing, digital marketing, brand marketing, events marketing, and marketing comms etc. Manage and monitor key marketing performance indicators and metrics. Participate in annual marketing performance…",102423.16,102423.16,Adzuna,https://www.adzuna.com/details/4746238584?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst (Remote),N/A,"Tarrytown, Travis County","WHO WE ARE Texas Workforce Commission connects people with careers across the state. This position is housed at 1117 Trinity Street in downtown Austin.We have offices statewide and many of our positions are suitable for teleworking. We're a Family Friendly Certified Workplace with great work-life balance, competitive salaries, extensive opportunities for training and development, and fantastic benefits. This position is remote.You must be a Texas resident to work for the Texas Workforce Commiss…",57175.36,57175.36,Adzuna,https://www.adzuna.com/details/4744205874?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst (Remote),State of Texas,"Colton, Travis County","WHO WE ARE Texas Workforce Commission connects people with careers across the state. This position is housed at 1117 Trinity Street in downtown Austin. We have offices statewide and many of our positions are suitable for teleworking. We're a Family Friendly Certified Workplace with great work-life balance, competitive salaries, extensive opportunities for training and development, and fantastic benefits. This position is remote. You must be a Texas resident to work for the Texas Workforce Commi…",48884.35,48884.35,Adzuna,https://www.adzuna.com/details/4745616426?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,AIDS Healthcare Foundation,"Los Angeles, Los Angeles County","AMAZING INDIVIDUALS WORKING FOR POSITIVE PEOPLE at AIDS Healthcare Foundation Does the idea of doing something that really makes a difference in people’s lives while being well-compensated intrigue you? Are you looking to work for an organization that encourages growth and success from each and every one of its employees? If so, AIDS Healthcare Foundation is the place for you Founded in 1987, AIDS Healthcare Foundation is the largest specialized provider of HIV/AIDS medical care in the nation. …",92621.58,92621.58,Adzuna,https://www.adzuna.com/details/4742054813?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,Kinwell,"Wallingford, King County","Join Our Team: Do Meaningful Work and Improve People's Lives Our purpose, to improve customers' lives by making healthcare work better, is far from ordinary. And so are our teammates Working at Kinwell means you have the opportunity to drive real change by transforming healthcare. To better serve our customers, we're creating a culture that promotes employee growth, collaborative innovation, and inspired leadership. About the role of Data Analyst The Data Analyst will be a naturally curious ind…",122185.53,122185.53,Adzuna,https://www.adzuna.com/details/4728282806?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,ThinkTek,"Trade, Alexandria City","Data Analyst Who We Are: ThinkTek LLC is a fast-growing Certified SBA 8(a) and Service-Disabled Veteran-Owned Small Business (SDVOSB) company. We specialize in providing management and technology consulting services to support the business and technology modernization efforts of the Federal Government. ThinkTek was formed with the specific purpose of providing its clients a tailored solution around Program & Project Management, Strategic Planning, and IT Operations. Position Description: We are…",65000.0,85000.0,Adzuna,https://www.adzuna.com/details/4745112218?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,State Farm,"Richardson, Pearl River County","OverviewWe are not just offering a job but a meaningful career Come join our passionate teamAs a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.We offer competitive benefits and pay with the potential for an annual financial award b…",74542.08,74542.08,Adzuna,https://www.adzuna.com/details/4738212168?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,State Farm,"Tempe, Maricopa County","OverviewWe are not just offering a job but a meaningful career Come join our passionate teamAs a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.We offer competitive benefits and pay with the potential for an annual financial award b…",77623.72,77623.72,Adzuna,https://www.adzuna.com/details/4738212226?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
"Data Analyst, PHIEA",State of Pennsylvania,"West End, Dauphin County","THE POSITION Are you someone who is driven and meticulous, excelling in data collection and analysis? Do you want your analysis to have a direct and visible effect on the success of a program that benefits Pennsylvania? If so, then we are looking for you This is a great opportunity to work at Pennie, Pennsylvania's state-based health insurance marketplace. If you are looking for a rewarding opportunity to make a significant impact at one of the largest state-based marketplaces, apply today DESC…",65652.29,65652.29,Adzuna,https://www.adzuna.com/details/4745603268?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Marketing Data Analyst,RELX Group,"Cambridge, Middlesex County","Elsevier, Inc. Marketing Data Analyst 50 Hampshire Street, 5th Floor, Cambridge, MA 02139 : Develop, implement, and evaluate strategies, plans, and activities for providing insights from data and analytics and the development of effective marketing strategies and activities. Conduct analytics using customer behavior data and develop insights that support marketing plans to deliver growth for our strategic priorities and increase customer engagement/marketing ROI. Translate business requirements…",97405.51,97405.51,Adzuna,https://www.adzuna.com/details/4749702022?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,Recruitment,"Salt Lake City, Salt Lake County",JOB TYPE Full time Admin Non-voice RESPONSIBILITIES: Determining the nature of incoming emails and prioritizing them according to their importance Screening incoming emails to determine whether they should be forwarded to the appropriate person or division Reviewing incoming emails for items that require follow-up and making sure that the person or division involved can respond to the email sent to them Ensuring that the email received is answered immediately and no pending emails are left unat…,49413.72,49413.72,Adzuna,https://www.adzuna.com/details/4728279588?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,Kansas State University,"Manhattan, Riley County","About This Role: Reporting to the Director of Assessment in the office of Data, Assessment, and Institutional Research (DAIR), this position creates, maintains, researches, and evaluates university survey projects and related survey data analysis, and oversees statistical analysis projects related to survey data and other projects. Utilizes survey and statistical software and system programs to deploy, store, pinpoint and access survey data. May perform complex data analyses to provide informed…",66586.39,66586.39,Adzuna,https://www.adzuna.com/details/4729125788?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,augmentjobs,"Austin, Travis County","Job Description: We are seeking a detail-oriented and analytical Data Analyst to join our growing team. As a Data Analyst, you will be responsible for interpreting data, analyzing results, and providing insights that support decision-making and strategic initiatives. You will work closely with stakeholders across the organization to understand business requirements, develop analytical solutions, and communicate findings effectively. Roles and Responsibilities: Data Collection and Analysis: Coll…",65958.73,65958.73,Adzuna,https://www.adzuna.com/details/4755588389?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Healthcare Data Analyst,Navient Corp,"Indianapolis, Marion County","Navient's wholly owned subsidiary Xtend Healthcare is seeking qualified professionals to fulfill a specific need at one of our key clients of EY (Ernst & Young). These full-time Navient Xtend Healthcare employee positions offer flexibility, attractive pay including premium-paid overtime, and an attractive benefits package (e.g., heavily subsidized insurance, significant paid time off, and matching 401k funding). About Navient Navient, (Nasdaq: NAVI) and subsidiary companies, provide technology-…",84639.08,84639.08,Adzuna,https://www.adzuna.com/details/4737199514?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,"Credence Management Solutions, LLC","Washington, Washington, D.C.","Job Location: Washington, DC Telework Eligible: Yes, at least 3 days per week in-person reporting at Washington, DC office. Remote Eligible: No. Summary Statement Credence Management Solutions employs hard-working, passionate individuals who bring innovation, accountability, and a growth mindset to the many missions we support across the US Federal Government. Employee empowerment is part of the fabric of our corporate culture through which we emphasize opportunity, recognition, reward, and ret…",113218.13,113218.13,Adzuna,https://www.adzuna.com/details/4751750618?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,DataAnnotation,"Arlington, Arlington County","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C#, Sw…",96269.41,96269.41,Adzuna,https://www.adzuna.com/details/4748166738?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,DataAnnotation,"Santa Clara, Santa Clara County","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C#, Sw…",99671.2,99671.2,Adzuna,https://www.adzuna.com/details/4738207226?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,DataAnnotation,"Sunnyvale, Santa Clara County","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C#, Sw…",96995.51,96995.51,Adzuna,https://www.adzuna.com/details/4717979451?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,DataAnnotation,"Long Beach, Pope County","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C#, Sw…",96257.85,96257.85,Adzuna,https://www.adzuna.com/details/4719014696?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,DataAnnotation,"Irvine, Orange County","DataAnnotation is committed to creating quality AI. Join our team to help train AI chatbots while gaining the flexibility of remote work and choosing your own schedule.We are looking for a proficient Data Analyst to join our team to train our AI chatbots. You will work with the chatbots that we are building in order to measure their progress, as well as write and evaluate code.In this role you will need to be proficient in at least one programming language (Python, JavaScript, HTML, C++, C#, Sw…",100924.23,100924.23,Adzuna,https://www.adzuna.com/details/4728691957?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
Data Analyst,"Poolmaster, Inc","Blythe, Richmond County","Job Description Job Description This is a remote position. Poolmaster, is a manufacturer of aftermarket pool and spa products. We offer products across six distinct product lines – Backyard & Décor, Games & Toys, Floats, Inflatables, Maintenance and Swim & Dive Gear. Headquartered in Sacramento, California, we manufacture, market, sell and distribute products worldwide to wholesalers, retailers and specialty market segments. Founded in 1958, Poolmaster has been offering best-in-class pool and s…",83713.5,83713.5,Adzuna,https://www.adzuna.com/details/4754630843?utm_medium=api&utm_source=330079c0,N/A,N/A,2024-06-27 18:28:22.521402
